prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
195	5.093182213761232	IM-311	IM-357	S	E	0.008827953392647072	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	S-174	E-099	S-174:Rare/weak regime	E-099:Sequential social learning	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
196	5.0931602953984525	IM-181	IM-381	M	P	0.008825697838232248	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	A PROPAGATING EXCITATION CAN BECOME SELF-SUSTAINING ON A LOOP IF RETURN TIME EXCEEDS LOCAL RECOVERY TIME	M-431; M-432	P-984; P-985; P-994; P-1000	M-431: PDE boundary access; M-432: Elliptic PDE	P-984:Recovery variable | P-985:Fast–slow system | P-994:Recovery + closed path | P-1000:State-dependent connectivity	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
197	5.092415395259349	IM-196	IM-343	M	S	0.008749008215237357	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	A VARIABLE KNOWN NOT TO LIE ON THE TARGET CAUSAL PATH CAN STILL BE USED TO EXPOSE OR BRIDGE HIDDEN CONFOUNDING	M-279; M-280	S-349; S-350; S-351; S-352	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-349:Known causal null | S-350:Known causal null | S-351:Completeness/proxy conditions | S-352:Integral-equation identification	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
198	5.092250523047531	IM-225	IM-306	M	P	0.008732025170041435	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	CLOSER IN ONE OBSERVED SCALAR DOES NOT IMPLY FASTER RELAXATION WHEN HIDDEN MODES HAVE DIFFERENT WEIGHTS	M-311; M-313	P-137; P-138	M-311:Martingale difference structure | M-313:Martingale variance process	P-137:Multiple relaxation modes | P-138:Hidden relaxation modes	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
199	5.092170797717389	IM-311	IM-050	S	E;M;P	0.008723811709007993	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	COARSE AVERAGE CAN LOSE THE VARIABLE THAT ACTUALLY CLOSES THE DYNAMICS	S-174	M-147; M-689; E-916; E-738; P-780	S-174:Rare/weak regime	M-147:Transition compatibility | M-689:Many-to-one dynamics map | E-916:Heterogeneous banks | E-738:Heterogeneous vintages | P-780:Strong evolving heterogeneity	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
200	5.09209031657188	IM-140	IM-227	P	M	0.05324142439709026	0.05555555555555555	0.0	A CONSERVED/ACCUMULATING BURDEN CAN SELF-QUENCH GROWTH UNLESS A BOUNDARY EXPORT CHANNEL REMOVES IT	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	P-796; P-798	M-317	P-796:High conductivity | P-798:Open boundaries	M-317:Continuous semimartingale	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
201	5.091571685362554	IM-196	IM-348	M	S	0.008662065580888894	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	A COUNTERFACTUAL TRAJECTORY CAN BE CONSTRUCTED AS A WEIGHTED MIXTURE OF MANY IMPERFECT DONOR UNITS	M-279; M-280	S-066	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-066:Pre-treatment comparability	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
202	5.090642072543256	IM-325	IM-382	M	P	0.012086260533827012	0.0	0.043478260869565216	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	A CATALYST/MEDIATOR CAN PARTICIPATE CHEMICALLY, CHANGE STATE, AND THEN REGENERATE RATHER THAN REMAIN PASSIVE	M-866; M-867; M-869; M-874; M-880	P-848; P-849; P-850; P-851	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-848:Redox catalyst | P-849:Reactive catalyst solid | P-850:Cyclic catalyst state | P-851:Reducible oxide	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
203	5.089816963021205	IM-196	IM-311	M	S	0.00848097072391144	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	M-279; M-280	S-174	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-174:Rare/weak regime	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
204	5.089816963021205	IM-311	IM-196	S	M	0.00848097072391144	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	S-174	M-279; M-280	S-174:Rare/weak regime	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
205	5.089610730512255	IM-311	IM-039	S	M;P	0.008459662239410698	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	COARSE-GRAIN ONLY IF COARSE STATE HAS CLOSED DYNAMICS	S-174	M-147; M-689; M-026; P-030	S-174:Rare/weak regime	M-147:Transition compatibility | M-689:Many-to-one dynamics map | M-026:Scale separation/ergodicity or structural assumptions | P-030:Scale separation/controlled approximation	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
206	5.089477286819024	IM-181	IM-212	M	S	0.00844587174366322	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	SUBTRACT THE PREDICTABLE PART OF AN OBSERVATION STREAM TO ISOLATE NEW INFORMATION	M-431; M-432	S-105; S-120	M-431: PDE boundary access; M-432: Elliptic PDE	S-105: Correct conditional model; S-120: Predictable intensity	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
207	5.088860616133726	IM-325	IM-348	M	S	0.008382115008012631	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	A COUNTERFACTUAL TRAJECTORY CAN BE CONSTRUCTED AS A WEIGHTED MIXTURE OF MANY IMPERFECT DONOR UNITS	M-866; M-867; M-869; M-874; M-880	S-066	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-066:Pre-treatment comparability	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
208	5.088487053400259	IM-311	IM-208	S	M	0.008343470426139038	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A NON-MARKOV OBSERVED PROCESS CAN BECOME MARKOV AFTER ADDING THE RIGHT MEMORY VARIABLE	S-174	M-121; M-122	S-174:Rare/weak regime	M-121: Markovization; M-122: Duration dependence	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
209	5.087674891786743	IM-225	IM-277	M	P	0.00825939479504972	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	THE SAME INPUT CAN PRODUCE AN IMMEDIATE RESPONSE AND A SLOWER INTERNAL-STATE RESPONSE ON DIFFERENT CLOCKS	M-311; M-313	P-529; P-530	M-311:Martingale difference structure | M-313:Martingale variance process	P-529:Rate dependence | P-530:Internal interface state	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
210	5.086991768596723	IM-178	IM-130	M	S	0.06598064211624748	0.07692307692307693	0.0	STATE IMPORTANCE SHOULD BE MEASURED BY HOW STRONGLY IT CONNECTS PAST INPUT TO FUTURE OUTPUT	BAD MODULE SHOULD NOT CONTAMINATE GOOD MODULE THROUGH FEEDBACK	M-423; M-424; M-425; M-426	S-426	M-423: Stable linear system; M-424: Stability + Hankel singular values; M-425: Input-output linear system; M-426: Stable system	S-426:Modular Bayes	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
211	5.086454492581923	IM-181	IM-138	M	P	0.008132906765802785	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	A BOTTLENECK CAN BECOME DYNAMICALLY UNSTABLE AND SPLIT INTO A NEW TRANSPORT ARCHITECTURE	M-431; M-432	P-510; P-511	M-431: PDE boundary access; M-432: Elliptic PDE	P-510:Laminar resistive MHD | P-511:High Lundquist number	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
212	5.0863194901782744	IM-311	IM-137	S	P	0.008118903276223449	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A FORBIDDEN TOPOLOGY CHANGE CAN BECOME ALLOWED IN A SPECIAL LAYER AND RELEASE STORED POTENTIAL	S-174	P-508; P-520	S-174:Rare/weak regime	P-508:Nonideal plasma layer | P-520:Ideal MHD	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
213	5.086055822417876	IM-181	IM-277	M	P	0.0080915471813031	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	THE SAME INPUT CAN PRODUCE AN IMMEDIATE RESPONSE AND A SLOWER INTERNAL-STATE RESPONSE ON DIFFERENT CLOCKS	M-431; M-432	P-529; P-530	M-431: PDE boundary access; M-432: Elliptic PDE	P-529:Rate dependence | P-530:Internal interface state	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
214	5.08583729712636	IM-311	IM-295	S	M	0.008068868250403677	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	EFFECTIVE REDUNDANCY HAS AN EXACT DUAL: MAX DISJOINT ROUTES = MINIMUM SEPARATOR	S-174	M-375	S-174:Rare/weak regime	M-375:Graph connectivity	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
215	5.0857214092540035	IM-249	IM-189	M	S	0.008056838828392114	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	RANDOM-TIME OBSERVATION OVERREPRESENTS LONG-LIVED STATES/EPISODES	M-655	S-272	M-655:Potential equivalence	S-272: Duration-biased sampling	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
216	5.085684951466177	IM-181	IM-137	M	P	0.008053054086815717	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	A FORBIDDEN TOPOLOGY CHANGE CAN BECOME ALLOWED IN A SPECIAL LAYER AND RELEASE STORED POTENTIAL	M-431; M-432	P-508; P-520	M-431: PDE boundary access; M-432: Elliptic PDE	P-508:Nonideal plasma layer | P-520:Ideal MHD	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
217	5.084981876922794	IM-311	IM-293	S	P	0.007980034818221945	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	FAST MICRO-MOTION CAN ALTER THE EFFECTIVE SLOW POTENTIAL AND STABILIZE AN OTHERWISE UNSTABLE STATE	S-174	P-114; P-115	S-174:Rare/weak regime	P-114:High-frequency forcing | P-115:Multi-scale forcing	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
218	5.084902374560406	IM-181	IM-293	M	P	0.007971774105559526	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	FAST MICRO-MOTION CAN ALTER THE EFFECTIVE SLOW POTENTIAL AND STABILIZE AN OTHERWISE UNSTABLE STATE	M-431; M-432	P-114; P-115	M-431: PDE boundary access; M-432: Elliptic PDE	P-114:High-frequency forcing | P-115:Multi-scale forcing	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
219	5.084744090938413	IM-196	IM-159	M	P	0.02238117199101395	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	YOU CAN INFER AN INFINITE/LARGE-SYSTEM TRANSITION FROM HOW FINITE SYSTEMS MOVE WITH SIZE	M-279; M-280	P-157	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-157:Scaling hypothesis	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
220	5.084167442809353	IM-311	IM-245	S	M	0.00789537392653766	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	REPRESENT A WHOLE CONVEX FEASIBLE SET BY ITS EXTREME RESPONSE IN EVERY TEST DIRECTION	S-174	M-294	S-174:Rare/weak regime	M-294:Convex body	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
221	5.083608440135956	IM-206	IM-051	M	P	0.007837217852316995	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	CONTROL CHANGES FASTER THAN SYSTEM CAN RELAX → PROTOCOL SELECTS FINAL STATE	M-125; M-126	P-918	M-125: Regularity assumptions; M-126: Summability structure	P-918:Finite relaxation time	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
222	5.083429894683295	IM-311	IM-314	S	M	0.007818634651461263	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	S-174	M-401	S-174:Rare/weak regime	M-401:Deterministic dynamics + observable space	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
223	5.083419916549777	IM-225	IM-341	M	S	0.030911650893783345	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	WHEN THE THEORETICAL NULL IS CONTAMINATED, THE BULK OF THE DATA CAN BE USED TO RE-ESTIMATE THE NULL BASELINE	M-311; M-313	S-175	M-311:Martingale difference structure | M-313:Martingale variance process	S-175:Many-tests structure	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
224	5.083214736676376	IM-196	IM-220	M	P	0.007796235527408052	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	INFER AN EQUILIBRIUM STATE DIFFERENCE FROM NONEQUILIBRIUM DRIVEN TRAJECTORIES	M-279; M-280	P-126; P-127	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-126: Initial equilibrium; P-127: Microscopic reversibility	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
225	5.083172048036824	IM-311	IM-180	S	M	0.007791790724281245	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	UNIQUE RECOVERY CAN HAVE A GEOMETRIC/TIME COVERAGE THRESHOLD, NOT JUST NOISE OR SAMPLE-SIZE THRESHOLD	S-174	M-433; M-434	S-174:Rare/weak regime	M-433: PDE/control geometry; M-434: Measurement geometry	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
226	5.083113851455351	IM-325	IM-359	M	E	0.014473791461967648	0.047619047619047616	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	M-866; M-867; M-869; M-874; M-880	E-401	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	E-401:Sender commitment to information structure	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
227	5.08269204139504	IM-220	IM-097	P	E	0.0651145223414937	0.0	0.0	INFER AN EQUILIBRIUM STATE DIFFERENCE FROM NONEQUILIBRIUM DRIVEN TRAJECTORIES	MORE INPUT/CAPACITY/FEWER CONSTRAINTS CAN MAKE GLOBAL OUTCOME WORSE	P-126; P-127	E-108; E-127; E-206	P-126: Initial equilibrium; P-127: Microscopic reversibility	E-108:Multiple interacting wedges | E-127:Noncooperative routing | E-206:Elastic demand/general equilibrium	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
228	5.082650256776222	IM-280	IM-180	S	M	0.05369352765010796	0.06666666666666667	0.0	UNCERTAINTY WIDTH ITSELF CAN BE A FEEDBACK CONTROL VARIABLE USED TO RESTORE A COVERAGE TARGET	UNIQUE RECOVERY CAN HAVE A GEOMETRIC/TIME COVERAGE THRESHOLD, NOT JUST NOISE OR SAMPLE-SIZE THRESHOLD	S-390	M-433; M-434	S-390:Online feedback	M-433: PDE/control geometry; M-434: Measurement geometry	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
229	5.082449186316594	IM-191	IM-197	S	P	0.09879128893127695	0.0	0.0	LATENT COMPONENT NAMES MAY BE PURE SYMMETRY; A NAMED HIDDEN CLASS IS NOT AUTOMATICALLY AN IDENTIFIED ENTITY	TRANSITION/DECAY RATE DEPENDS ON AVAILABLE FINAL STATES IN THE ENVIRONMENT, NOT ONLY ON THE SOURCE	S-269; S-270	P-269; P-270	S-269: Structural conditions; S-270: Symmetry	P-269: Structured environment; P-270: Density-of-states engineering	mechanism/structural	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
230	5.082447314516531	IM-311	IM-178	S	M	0.007716295887662601	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	STATE IMPORTANCE SHOULD BE MEASURED BY HOW STRONGLY IT CONNECTS PAST INPUT TO FUTURE OUTPUT	S-174	M-423; M-424; M-425; M-426	S-174:Rare/weak regime	M-423: Stable linear system; M-424: Stability + Hankel singular values; M-425: Input-output linear system; M-426: Stable system	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
